Evaluation1,Evaluation2,Assessement1,Evaluation3,FinalAssessement
5.25,6.25,6.94,7.25,7.43
8.08,9.08,9.06,10,8.84
6.42,7.42,7.81,8.42,8.01
5.15,6.15,6.86,7.15,7.38
8.44,9.44,9.33,10,9.02
6.78,7.78,8.09,8.78,8.19
7.57,8.57,8.68,9.57,8.59
3.06,4.06,5.29,5.06,6.33
7.46,8.46,8.59,9.46,8.53
8.57,9.57,9.43,10,9.09
5.89,6.89,7.41,7.89,7.74
6.13,7.13,7.59,8.13,7.86
10,10,10,10,10
7.24,8.24,8.43,9.24,8.42
7.59,8.59,8.69,9.59,8.59
6.15,7.15,7.61,8.15,7.88
5.16,6.16,6.87,7.16,7.38
6.41,7.41,7.81,8.41,8
7.54,8.54,8.66,9.54,8.57
3.56,4.56,5.67,5.56,6.58
7.14,8.14,8.35,9.14,8.37
10,10,10,10,10
10,10,10,10,9.8
7.42,8.42,8.56,9.42,8.51
5.01,6.01,6.76,7.01,7.31
2.57,3.57,4.93,4.57,6.08
3.63,4.63,5.72,5.63,6.61
7.24,8.24,8.43,9.24,8.42
6.66,7.66,7.99,8.66,8.13
2.63,3.63,4.97,4.63,6.11
8.1,9.1,9.07,10,8.85
8.6,9.6,9.45,10,9.1
4.86,5.86,6.64,6.86,7.23
5.94,6.94,7.46,7.94,7.77
8.16,9.16,9.12,10,8.88
4.18,5.18,6.14,6.18,6.89
7.74,8.74,8.81,9.74,8.67
2.76,3.76,5.07,4.76,6.18
5.72,6.72,7.29,7.72,7.66
5.01,6.01,6.76,7.01,7.31
5.29,6.29,6.96,7.29,7.44
6.85,7.85,8.13,8.85,8.22
5.27,6.27,6.95,7.27,7.44
8.57,9.57,9.42,10,9.08
8.09,9.09,9.06,10,8.84
5.83,6.83,7.37,7.83,7.71
6.01,7.01,7.51,8.01,7.8
8.54,9.54,9.41,10,9.07
5.65,6.65,7.24,7.65,7.63
6.65,7.65,7.98,8.65,8.12
6.07,7.07,7.55,8.07,7.84
6.21,7.21,7.65,8.21,7.9
5.6,6.6,7.2,7.6,7.6
6.42,7.42,7.82,8.42,8.01
6.52,7.52,7.89,8.52,8.06
2.64,3.64,4.98,4.64,6.12
8.71,9.71,9.53,10,9.16
6.49,7.49,7.87,8.49,8.04
5.61,6.61,7.21,7.61,7.6
6.31,7.31,7.73,8.31,7.95
8.97,9.97,9.72,10,9.28
7.28,8.28,8.46,9.28,8.44
4.45,5.45,6.34,6.45,7.02
8.84,9.84,9.63,10,9.22
4.73,5.73,6.55,6.73,7.16
5.42,6.42,7.06,7.42,7.51
7.4,8.4,8.55,9.4,8.5
5.02,6.02,6.76,7.02,7.31
3.52,4.52,5.64,5.52,6.56
2.6,3.6,4.95,4.6,6.1
6.23,7.23,7.67,8.23,7.91
4.88,5.88,6.66,6.88,7.24
4.09,5.09,6.07,6.09,6.84
9.46,10,10,10,9.53
4.22,5.22,6.16,6.22,6.91
5.91,6.91,7.43,7.91,7.75
4.85,5.85,6.64,6.85,7.22
5.73,6.73,7.3,7.73,7.66
5.96,6.96,7.47,7.96,7.78
6.62,7.62,7.96,8.62,8.11
7.77,8.77,8.83,9.77,8.68
7.18,8.18,8.38,9.18,8.39
5.31,6.31,6.98,7.31,7.46
4.51,5.51,6.39,6.51,7.06
5.75,6.75,7.32,7.75,7.68
7.3,8.3,8.48,9.3,8.45
6.19,7.19,7.64,8.19,7.9
7.28,8.28,8.46,9.28,8.44
5.66,6.66,7.25,7.66,7.63
5.01,6.01,6.76,7.01,7.31
5.82,6.82,7.36,7.82,7.71
3.69,4.69,5.77,5.69,6.65
5.9,6.9,7.43,7.9,7.75
8.06,9.06,9.05,10,8.83
7.49,8.49,8.62,9.49,8.55
5.49,6.49,7.12,7.49,7.54
3.11,4.11,5.33,5.11,6.36
6.74,7.74,8.05,8.74,8.17
8.15,9.15,9.11,10,8.87
5.99,6.99,7.49,7.99,7.8
0.27,1.27,3.2,2.27,4.94
6.14,7.14,7.61,8.14,7.87
4.6,5.6,6.45,6.6,7.1
7.99,8.99,8.99,9.99,8.79
4.77,5.77,6.58,6.77,7.18
6.13,7.13,7.6,8.13,7.87
3.54,4.54,5.66,5.54,6.57
3.96,4.96,5.97,5.96,6.78
7.28,8.28,8.46,9.28,8.44
6.28,7.28,7.71,8.28,7.94
6.41,7.41,7.81,8.41,8
9.99,10,10,10,9.79
8.53,9.53,9.4,10,9.06
5.15,6.15,6.86,7.15,7.37
4.05,5.05,6.04,6.05,6.83
8.61,9.61,9.46,10,9.11
5.56,6.56,7.17,7.56,7.58
3.52,4.52,5.64,5.52,6.56
6.12,7.12,7.59,8.12,7.86
4.52,5.52,6.39,6.52,7.06
8.6,9.6,9.45,10,9.1
7.82,8.82,8.86,9.82,8.71
6.77,7.77,8.08,8.77,8.19
8.73,9.73,9.55,10,9.17
5.37,6.37,7.03,7.37,7.48
5.31,6.31,6.98,7.31,7.45
4.78,5.78,6.58,6.78,7.19
6.91,7.91,8.18,8.91,8.25
8.4,9.4,9.3,10,9
4.68,5.68,6.51,6.68,7.14
5.99,6.99,7.49,7.99,7.79
5.98,6.98,7.49,7.98,7.79
4.81,5.81,6.61,6.81,7.2
7.94,8.94,8.96,9.94,8.77
7.7,8.7,8.78,9.7,8.65
2.39,3.39,4.79,4.39,6
4.92,5.92,6.69,6.92,7.26
7.91,8.91,8.93,9.91,8.75
7.03,8.03,8.27,9.03,8.32
4.61,5.61,6.45,6.61,7.1
3.65,4.65,5.73,5.65,6.62
8.24,9.24,9.18,10,8.92
5.41,6.41,7.06,7.41,7.51
8.26,9.26,9.19,10,8.93
4.28,5.28,6.21,6.28,6.94
3.45,4.45,5.59,5.45,6.52
3.26,4.26,5.44,5.26,6.43
6.21,7.21,7.66,8.21,7.9
4.17,5.17,6.13,6.17,6.88
3,4,5.25,5,6.3
4.86,5.86,6.64,6.86,7.23
6.21,7.21,7.66,8.21,7.91
3.81,4.81,5.85,5.81,6.7
3.66,4.66,5.74,5.66,6.63
4.48,5.48,6.36,6.48,7.04
2.2,3.2,4.65,4.2,5.9
6.24,7.24,7.68,8.24,7.92
10,10,10,10,10
4.45,5.45,6.34,6.45,7.02
4.13,5.13,6.1,6.13,6.87
6.11,7.11,7.58,8.11,7.86
7.21,8.21,8.41,9.21,8.41
7.75,8.75,8.81,9.75,8.67
6.63,7.63,7.97,8.63,8.12
3.22,4.22,5.41,5.22,6.41
6.5,7.5,7.88,8.5,8.05
8.65,9.65,9.49,10,9.12
3.48,4.48,5.61,5.48,6.54
7.85,8.85,8.89,9.85,8.72
7.44,8.44,8.58,9.44,8.52
6.3,7.3,7.72,8.3,7.95
6.18,7.18,7.63,8.18,7.89
3.78,4.78,5.83,5.78,6.69
7.01,8.01,8.26,9.01,8.31
4.44,5.44,6.33,6.44,7.02
4.24,5.24,6.18,6.24,6.92
5.59,6.59,7.19,7.59,7.6
4.33,5.33,6.25,6.33,6.97
9.1,10,9.82,10,9.35
9.87,10,10,10,9.73
6.46,7.46,7.84,8.46,8.03
5.45,6.45,7.09,7.45,7.53
6.05,7.05,7.54,8.05,7.83
6.89,7.89,8.17,8.89,8.25
6.1,7.1,7.58,8.1,7.85
7.04,8.04,8.28,9.04,8.32
8.37,9.37,9.27,10,8.98
5.83,6.83,7.38,7.83,7.72
6.88,7.88,8.16,8.88,8.24
5.71,6.71,7.28,7.71,7.65
9.27,10,9.96,10,9.44
1.09,2.09,3.82,3.09,5.34
6.82,7.82,8.11,8.82,8.21
5.77,6.77,7.33,7.77,7.69
1.47,2.47,4.1,3.47,5.54
8.36,9.36,9.27,10,8.98
4.61,5.61,6.46,6.61,7.11
5.99,6.99,7.49,7.99,7.8
3.32,4.32,5.49,5.32,6.46
5.81,6.81,7.36,7.81,7.7
5.33,6.33,7,7.33,7.47
5.25,6.25,6.94,7.25,7.42
7.91,8.91,8.93,9.91,8.75
7.64,8.64,8.73,9.64,8.62
4.49,5.49,6.37,6.49,7.05
4.74,5.74,6.56,6.74,7.17
7.39,8.39,8.54,9.39,8.49
8.43,9.43,9.32,10,9.01
1.19,2.19,3.89,3.19,5.39
6.87,7.87,8.15,8.87,8.24
5.5,6.5,7.12,7.5,7.55
2.04,3.04,4.53,4.04,5.82
5.76,6.76,7.32,7.76,7.68
6.78,7.78,8.09,8.78,8.19
7.02,8.02,8.26,9.02,8.31
7.21,8.21,8.41,9.21,8.41
3.07,4.07,5.3,5.07,6.34
8.61,9.61,9.46,10,9.11
3.33,4.33,5.5,5.33,6.47
7.42,8.42,8.57,9.42,8.51
4.33,5.33,6.25,6.33,6.96
3.83,4.83,5.87,5.83,6.71
2.87,3.87,5.16,4.87,6.24
6.85,7.85,8.14,8.85,8.23
7.37,8.37,8.53,9.37,8.48
7.87,8.87,8.9,9.87,8.73
5.72,6.72,7.29,7.72,7.66
4.74,5.74,6.55,6.74,7.17
5.84,6.84,7.38,7.84,7.72
4.24,5.24,6.18,6.24,6.92
5.06,6.06,6.79,7.06,7.33
7.4,8.4,8.55,9.4,8.5
6.83,7.83,8.13,8.83,8.22
3.9,4.9,5.92,5.9,6.75
5.17,6.17,6.88,7.17,7.38
7.18,8.18,8.39,9.18,8.39
4.59,5.59,6.44,6.59,7.09
5.72,6.72,7.29,7.72,7.66
4.56,5.56,6.42,6.56,7.08
5.07,6.07,6.8,7.07,7.33
6.12,7.12,7.59,8.12,7.86
6.49,7.49,7.87,8.49,8.05
4.46,5.46,6.34,6.46,7.03
3.51,4.51,5.63,5.51,6.55
6.31,7.31,7.73,8.31,7.95
5.63,6.63,7.22,7.63,7.61
6.32,7.32,7.74,8.32,7.96
6.82,7.82,8.12,8.82,8.21
3.22,4.22,5.42,5.22,6.41
10,10,10,10,10
8.18,9.18,9.14,10,8.89
5.66,6.66,7.25,7.66,7.63
8.15,9.15,9.11,10,8.87
6.05,7.05,7.53,8.05,7.82
6.2,7.2,7.65,8.2,7.9
6.59,7.59,7.94,8.59,8.1
5.61,6.61,7.21,7.61,7.6
10,10,10,10,10
6.32,7.32,7.74,8.32,7.96
7.21,8.21,8.41,9.21,8.4
6.62,7.62,7.96,8.62,8.11
6.4,7.4,7.8,8.4,8
9.25,10,9.94,10,9.42
4.64,5.64,6.48,6.64,7.12
7.6,8.6,8.7,9.6,8.6
5.56,6.56,7.17,7.56,7.58
5.23,6.23,6.92,7.23,7.41
6.66,7.66,7.99,8.66,8.13
6.36,7.36,7.77,8.36,7.98
5.18,6.18,6.89,7.18,7.39
4.77,5.77,6.57,6.77,7.18
4.96,5.96,6.72,6.96,7.28
6.7,7.7,8.02,8.7,8.15
5.29,6.29,6.97,7.29,7.44
7.6,8.6,8.7,9.6,8.6
3.43,4.43,5.57,5.43,6.52
4.11,5.11,6.08,6.11,6.85
1.79,2.79,4.34,3.79,5.69
3.17,4.17,5.37,5.17,6.38
6.08,7.08,7.56,8.08,7.84
4.34,5.34,6.26,6.34,6.97
6.61,7.61,7.96,8.61,8.11
7.51,8.51,8.63,9.51,8.55
7.82,8.82,8.86,9.82,8.71
5.23,6.23,6.92,7.23,7.41
4.57,5.57,6.43,6.57,7.09
8.15,9.15,9.12,10,8.88
6.78,7.78,8.08,8.78,8.19
5.68,6.68,7.26,7.68,7.64
4.75,5.75,6.57,6.75,7.18
4.77,5.77,6.58,6.77,7.19
7.85,8.85,8.88,9.85,8.72
7.49,8.49,8.62,9.49,8.55
8.04,9.04,9.03,10,8.82
4.82,5.82,6.62,6.82,7.21
5.47,6.47,7.11,7.47,7.54
7.7,8.7,8.78,9.7,8.65
4.64,5.64,6.48,6.64,7.12
9.37,10,10,10,9.49
6.3,7.3,7.72,8.3,7.95
5.92,6.92,7.44,7.92,7.76
4.02,5.02,6.01,6.02,6.81
6.25,7.25,7.68,8.25,7.92
6.9,7.9,8.17,8.9,8.25
9.13,10,9.85,10,9.36
6.93,7.93,8.2,8.93,8.27
7.64,8.64,8.73,9.64,8.62
10,10,10,10,9.9
7.49,8.49,8.62,9.49,8.55
4.69,5.69,6.51,6.69,7.14
7.12,8.12,8.34,9.12,8.36
5.12,6.12,6.84,7.12,7.36
7.43,8.43,8.58,9.43,8.52
5.33,6.33,7,7.33,7.46
7.48,8.48,8.61,9.48,8.54
5.11,6.11,6.83,7.11,7.35
6.62,7.62,7.96,8.62,8.11
4.76,5.76,6.57,6.76,7.18
6.36,7.36,7.77,8.36,7.98
7.67,8.67,8.75,9.67,8.63
6.32,7.32,7.74,8.32,7.96
6.89,7.89,8.17,8.89,8.25
3.28,4.28,5.46,5.28,6.44
6.98,7.98,8.24,8.98,8.29
5.06,6.06,6.8,7.06,7.33
6.61,7.61,7.96,8.61,8.1
6.32,7.32,7.74,8.32,7.96
3.23,4.23,5.42,5.23,6.42
6.33,7.33,7.75,8.33,7.96
7.33,8.33,8.5,9.33,8.47
2.51,3.51,4.88,4.51,6.05
3.1,4.1,5.33,5.1,6.35
8.53,9.53,9.4,10,9.06
6.21,7.21,7.66,8.21,7.91
8.09,9.09,9.07,10,8.84
4.79,5.79,6.59,6.79,7.2
8.34,9.34,9.26,10,8.97
9,10,9.75,10,9.3
5.79,6.79,7.34,7.79,7.69
6.53,7.53,7.9,8.53,8.07
8.34,9.34,9.25,10,8.97
5.57,6.57,7.18,7.57,7.58
5.95,6.95,7.46,7.95,7.78
6.19,7.19,7.64,8.19,7.89
5.33,6.33,7,7.33,7.47
6.77,7.77,8.08,8.77,8.18
4.16,5.16,6.12,6.16,6.88
2.53,3.53,4.9,4.53,6.06
5.96,6.96,7.47,7.96,7.78
4.31,5.31,6.23,6.31,6.95
5.83,6.83,7.37,7.83,7.71
2.55,3.55,4.92,4.55,6.08
1.8,2.8,4.35,3.8,5.7
5.52,6.52,7.14,7.52,7.56
2.68,3.68,5.01,4.68,6.14
5.73,6.73,7.3,7.73,7.66
7.99,8.99,8.99,9.99,8.79
6.16,7.16,7.62,8.16,7.88
5.95,6.95,7.46,7.95,7.78
2.95,3.95,5.21,4.95,6.27
2.62,3.62,4.97,4.62,6.11
5.86,6.86,7.39,7.86,7.73
3.31,4.31,5.49,5.31,6.46
5.96,6.96,7.47,7.96,7.78
10,10,10,10,9.84
5.55,6.55,7.16,7.55,7.57
8.28,9.28,9.21,10,8.94
6.36,7.36,7.77,8.36,7.98
8.05,9.05,9.04,10,8.82
7.47,8.47,8.6,9.47,8.53
5.3,6.3,6.97,7.3,7.45
6.2,7.2,7.65,8.2,7.9
2.89,3.89,5.16,4.89,6.24
6.05,7.05,7.54,8.05,7.83
5.32,6.32,6.99,7.32,7.46
6.57,7.57,7.93,8.57,8.08
6.33,7.33,7.75,8.33,7.96
5.22,6.22,6.92,7.22,7.41
3.27,4.27,5.45,5.27,6.44
7.11,8.11,8.33,9.11,8.35
4.19,5.19,6.14,6.19,6.9
6.32,7.32,7.74,8.32,7.96
8.59,9.59,9.44,10,9.09
5.53,6.53,7.14,7.53,7.56
7.71,8.71,8.78,9.71,8.65
6.67,7.67,8,8.67,8.13
6.69,7.69,8.02,8.69,8.15
2.76,3.76,5.07,4.76,6.18
5.5,6.5,7.13,7.5,7.55
7.21,8.21,8.41,9.21,8.41
7.29,8.29,8.47,9.29,8.45
3.96,4.96,5.97,5.96,6.78
10,10,10,10,10
4.38,5.38,6.28,6.38,6.99
6.58,7.58,7.94,8.58,8.09
3.82,4.82,5.86,5.82,6.71
4.71,5.71,6.53,6.71,7.15
4.91,5.91,6.69,6.91,7.26
6.09,7.09,7.57,8.09,7.85
5.62,6.62,7.22,7.62,7.61
8.21,9.21,9.16,10,8.9
8.49,9.49,9.37,10,9.04
4.74,5.74,6.56,6.74,7.17
4.58,5.58,6.44,6.58,7.09
7.95,8.95,8.96,9.95,8.77
5.46,6.46,7.1,7.46,7.53
6.28,7.28,7.71,8.28,7.94
7.59,8.59,8.69,9.59,8.59
5.89,6.89,7.42,7.89,7.75
4.86,5.86,6.65,6.86,7.23
5.04,6.04,6.78,7.04,7.32
6.85,7.85,8.13,8.85,8.22
6.34,7.34,7.75,8.34,7.97
1.94,2.94,4.45,3.94,5.77
4.69,5.69,6.52,6.69,7.15
10,10,10,10,9.81
10,10,10,10,9.83
4.06,5.06,6.05,6.06,6.83
1.52,2.52,4.14,3.52,5.56
5.57,6.57,7.18,7.57,7.59
8.88,9.88,9.66,10,9.24
7.88,8.88,8.91,9.88,8.74
2.92,3.92,5.19,4.92,6.26
8.26,9.26,9.19,10,8.93
6.02,7.02,7.52,8.02,7.81
7.44,8.44,8.58,9.44,8.52
8.1,9.1,9.08,10,8.85
4.77,5.77,6.58,6.77,7.19
6.7,7.7,8.03,8.7,8.15
3.85,4.85,5.88,5.85,6.72
8.09,9.09,9.06,10,8.84
4.14,5.14,6.11,6.14,6.87
5.4,6.4,7.05,7.4,7.5
6.42,7.42,7.82,8.42,8.01
4.46,5.46,6.34,6.46,7.03
8.88,9.88,9.66,10,9.24
5.4,6.4,7.05,7.4,7.5
3.07,4.07,5.3,5.07,6.33
3.92,4.92,5.94,5.92,6.76
8.87,9.87,9.65,10,9.24
5.8,6.8,7.35,7.8,7.7
5.21,6.21,6.91,7.21,7.4
6.59,7.59,7.94,8.59,8.09
5.83,6.83,7.37,7.83,7.71
3,4,5.25,5,6.3
6.77,7.77,8.08,8.77,8.18
9.22,10,9.92,10,9.41
8.14,9.14,9.1,10,8.87
4.09,5.09,6.07,6.09,6.84
6.67,7.67,8,8.67,8.13
5.61,6.61,7.2,7.61,7.6
6.62,7.62,7.97,8.62,8.11
5.41,6.41,7.06,7.41,7.51
4.61,5.61,6.46,6.61,7.11
5.66,6.66,7.25,7.66,7.63
4.9,5.9,6.68,6.9,7.25
7.38,8.38,8.53,9.38,8.49
4.29,5.29,6.22,6.29,6.95
5.76,6.76,7.32,7.76,7.68
3.39,4.39,5.54,5.39,6.49
7.12,8.12,8.34,9.12,8.36
7.08,8.08,8.31,9.08,8.34
8.59,9.59,9.44,10,9.09
5.77,6.77,7.33,7.77,7.69
4.3,5.3,6.23,6.3,6.95
5.74,6.74,7.3,7.74,7.67
4.81,5.81,6.6,6.81,7.2
5.16,6.16,6.87,7.16,7.38
8.5,9.5,9.37,10,9.05
7.06,8.06,8.29,9.06,8.33
5.59,6.59,7.19,7.59,7.59
4.63,5.63,6.47,6.63,7.11
2.83,3.83,5.12,4.83,6.22
8.1,9.1,9.08,10,8.85
7.86,8.86,8.89,9.86,8.73
3.37,4.37,5.53,5.37,6.48
5.3,6.3,6.98,7.3,7.45
5.74,6.74,7.3,7.74,7.67
8.99,9.99,9.74,10,9.29
9.89,10,10,10,9.75
5.3,6.3,6.97,7.3,7.45
7.97,8.97,8.98,9.97,8.78
5.62,6.62,7.21,7.62,7.61
9.11,10,9.83,10,9.35
7.65,8.65,8.73,9.65,8.62
6.28,7.28,7.71,8.28,7.94
6.23,7.23,7.68,8.23,7.92
6.55,7.55,7.91,8.55,8.07
7.56,8.56,8.67,9.56,8.58
2.69,3.69,5.02,4.69,6.15
4.36,5.36,6.27,6.36,6.98
5.63,6.63,7.22,7.63,7.61
6.06,7.06,7.54,8.06,7.83
7.75,8.75,8.81,9.75,8.68
6.18,7.18,7.63,8.18,7.89
7.95,8.95,8.96,9.95,8.78
6.18,7.18,7.64,8.18,7.89
4.83,5.83,6.62,6.83,7.21
5.76,6.76,7.32,7.76,7.68
6.37,7.37,7.77,8.37,7.98
10,10,10,10,10
4.98,5.98,6.74,6.98,7.29
8.98,9.98,9.73,10,9.29
3.22,4.22,5.41,5.22,6.41
7.44,8.44,8.58,9.44,8.52
5.68,6.68,7.26,7.68,7.64
8.23,9.23,9.17,10,8.92
2,3,4.5,4,5.8
7.4,8.4,8.55,9.4,8.5
2.2,3.2,4.65,4.2,5.9
5.37,6.37,7.03,7.37,7.48
5.53,6.53,7.15,7.53,7.57
5.05,6.05,6.78,7.05,7.32
8.01,9.01,9.01,10,8.81
3.86,4.86,5.89,5.86,6.73
1.98,2.98,4.49,3.98,5.79
3.73,4.73,5.8,5.73,6.66
6.01,7.01,7.51,8.01,7.8
8.15,9.15,9.12,10,8.88
6.55,7.55,7.91,8.55,8.07
5.46,6.46,7.09,7.46,7.53
6.9,7.9,8.17,8.9,8.25
4.23,5.23,6.17,6.23,6.91
5.72,6.72,7.29,7.72,7.66
7.71,8.71,8.78,9.71,8.65
8.26,9.26,9.2,10,8.93
8.19,9.19,9.15,10,8.9
5.66,6.66,7.25,7.66,7.63
4.94,5.94,6.71,6.94,7.27
6.93,7.93,8.2,8.93,8.26
4.14,5.14,6.11,6.14,6.87
4.43,5.43,6.33,6.43,7.02
7.32,8.32,8.49,9.32,8.46
4.6,5.6,6.45,6.6,7.1
7.18,8.18,8.39,9.18,8.39
5.89,6.89,7.42,7.89,7.74
3.63,4.63,5.72,5.63,6.62
3.56,4.56,5.67,5.56,6.58
8.33,9.33,9.25,10,8.97
5.94,6.94,7.46,7.94,7.77
9.99,10,10,10,9.79
6.7,7.7,8.03,8.7,8.15
7.46,8.46,8.6,9.46,8.53
4.95,5.95,6.71,6.95,7.28
8.09,9.09,9.06,10,8.84
7.48,8.48,8.61,9.48,8.54
6,7,7.5,8,7.8
4.22,5.22,6.16,6.22,6.91
6.92,7.92,8.19,8.92,8.26
6.96,7.96,8.22,8.96,8.28
5.2,6.2,6.9,7.2,7.4
8.52,9.52,9.39,10,9.06
7.29,8.29,8.47,9.29,8.45
3.37,4.37,5.53,5.37,6.48
5.49,6.49,7.12,7.49,7.55
6.16,7.16,7.62,8.16,7.88
6.63,7.63,7.97,8.63,8.11
3.86,4.86,5.89,5.86,6.73
4.7,5.7,6.53,6.7,7.15
10,10,10,10,9.85
6.95,7.95,8.21,8.95,8.28
7.36,8.36,8.52,9.36,8.48
10,10,10,10,9.97
8.03,9.03,9.02,10,8.82
3.36,4.36,5.52,5.36,6.48
6.45,7.45,7.84,8.45,8.02
7.28,8.28,8.46,9.28,8.44
6.71,7.71,8.03,8.71,8.15
7.24,8.24,8.43,9.24,8.42
4.95,5.95,6.71,6.95,7.28
5.92,6.92,7.44,7.92,7.76
6.95,7.95,8.21,8.95,8.28
8.34,9.34,9.26,10,8.97
10,10,10,10,10
6.76,7.76,8.07,8.76,8.18
3.28,4.28,5.46,5.28,6.44
5.74,6.74,7.31,7.74,7.67
6.73,7.73,8.05,8.73,8.17
7.87,8.87,8.9,9.87,8.73
5.87,6.87,7.4,7.87,7.74
5.22,6.22,6.91,7.22,7.41
5.01,6.01,6.76,7.01,7.3
9.7,10,10,10,9.65
8.42,9.42,9.31,10,9.01
4.92,5.92,6.69,6.92,7.26
5.72,6.72,7.29,7.72,7.66
6.43,7.43,7.83,8.43,8.02
3.08,4.08,5.31,5.08,6.34
4.6,5.6,6.45,6.6,7.1
4.23,5.23,6.17,6.23,6.91
6.33,7.33,7.75,8.33,7.97
5.39,6.39,7.05,7.39,7.5
3.9,4.9,5.93,5.9,6.75
5.6,6.6,7.2,7.6,7.6
3.3,4.3,5.48,5.3,6.45
2.79,3.79,5.09,4.79,6.19
7.11,8.11,8.33,9.11,8.35
4.37,5.37,6.28,6.37,6.99
5.09,6.09,6.82,7.09,7.35
5.12,6.12,6.84,7.12,7.36
3.51,4.51,5.63,5.51,6.55
6.98,7.98,8.24,8.98,8.29
3.11,4.11,5.33,5.11,6.35
4.27,5.27,6.2,6.27,6.94
3.08,4.08,5.31,5.08,6.34
4.15,5.15,6.11,6.15,6.87
7.15,8.15,8.36,9.15,8.37
4.86,5.86,6.64,6.86,7.23
6.57,7.57,7.93,8.57,8.09
7.28,8.28,8.46,9.28,8.44
4.69,5.69,6.52,6.69,7.14
8.24,9.24,9.18,10,8.92
7.16,8.16,8.37,9.16,8.38
4.67,5.67,6.5,6.67,7.14
6.57,7.57,7.93,8.57,8.09
2.96,3.96,5.22,4.96,6.28
9.57,10,10,10,9.59
8.15,9.15,9.12,10,8.88
7,8,8.25,9,8.3
6.64,7.64,7.98,8.64,8.12
8.25,9.25,9.19,10,8.93
6.62,7.62,7.97,8.62,8.11
5.88,6.88,7.41,7.88,7.74
6.09,7.09,7.57,8.09,7.85
8.97,9.97,9.73,10,9.29
5.56,6.56,7.17,7.56,7.58
5.74,6.74,7.3,7.74,7.67
7.17,8.17,8.38,9.17,8.39
3.44,4.44,5.58,5.44,6.52
5.51,6.51,7.13,7.51,7.55
8.37,9.37,9.28,10,8.99
2.56,3.56,4.92,4.56,6.08
5.41,6.41,7.06,7.41,7.51
10,10,10,10,9.92
6.3,7.3,7.73,8.3,7.95
10,10,10,10,10
3.07,4.07,5.3,5.07,6.33
4.52,5.52,6.39,6.52,7.06
5.22,6.22,6.92,7.22,7.41
6.48,7.48,7.86,8.48,8.04
5.61,6.61,7.21,7.61,7.6
3.66,4.66,5.75,5.66,6.63
2.47,3.47,4.85,4.47,6.03
8.73,9.73,9.55,10,9.17
6.48,7.48,7.86,8.48,8.04
5.88,6.88,7.41,7.88,7.74
6.05,7.05,7.54,8.05,7.83
4.92,5.92,6.69,6.92,7.26
5.67,6.67,7.25,7.67,7.63
7.14,8.14,8.35,9.14,8.37
6.6,7.6,7.95,8.6,8.1
3.45,4.45,5.59,5.45,6.53
8.87,9.87,9.65,10,9.24
8.08,9.08,9.06,10,8.84
6.53,7.53,7.9,8.53,8.06
8.16,9.16,9.12,10,8.88
4.59,5.59,6.44,6.59,7.09
1.72,2.72,4.29,3.72,5.66
4.31,5.31,6.23,6.31,6.95
4.14,5.14,6.11,6.14,6.87
7.5,8.5,8.62,9.5,8.55
5.81,6.81,7.36,7.81,7.71
4.12,5.12,6.09,6.12,6.86
6.92,7.92,8.19,8.92,8.26
7.13,8.13,8.35,9.13,8.37
6.05,7.05,7.54,8.05,7.82
10,10,10,10,10
4.61,5.61,6.46,6.61,7.1
9.84,10,10,10,9.72
7.5,8.5,8.63,9.5,8.55
5.16,6.16,6.87,7.16,7.38
7.11,8.11,8.33,9.11,8.36
5.22,6.22,6.91,7.22,7.41
5.75,6.75,7.31,7.75,7.67
4.37,5.37,6.27,6.37,6.98
4.72,5.72,6.54,6.72,7.16
4.71,5.71,6.54,6.71,7.16
7.75,8.75,8.81,9.75,8.67
7.96,8.96,8.97,9.96,8.78
8.23,9.23,9.17,10,8.91
8.29,9.29,9.22,10,8.95
8.4,9.4,9.3,10,9
7.81,8.81,8.86,9.81,8.71
5.05,6.05,6.79,7.05,7.33
5.61,6.61,7.21,7.61,7.6
6.4,7.4,7.8,8.4,8
6.72,7.72,8.04,8.72,8.16
8.06,9.06,9.04,10,8.83
7.1,8.1,8.32,9.1,8.35
7.46,8.46,8.59,9.46,8.53
7.1,8.1,8.32,9.1,8.35
6.56,7.56,7.92,8.56,8.08
9.01,10,9.76,10,9.3
5.78,6.78,7.34,7.78,7.69
5.45,6.45,7.09,7.45,7.53
6.19,7.19,7.64,8.19,7.9
5.72,6.72,7.29,7.72,7.66
6.11,7.11,7.58,8.11,7.86
7.41,8.41,8.56,9.41,8.51
7.58,8.58,8.69,9.58,8.59
8.55,9.55,9.41,10,9.08
6.85,7.85,8.14,8.85,8.22
5.64,6.64,7.23,7.64,7.62
4.41,5.41,6.31,6.41,7
5.69,6.69,7.27,7.69,7.64
7.27,8.27,8.45,9.27,8.43
6.97,7.97,8.23,8.97,8.28
6.3,7.3,7.72,8.3,7.95
3.67,4.67,5.75,5.67,6.63
5.6,6.6,7.2,7.6,7.6
5.97,6.97,7.48,7.97,7.78
7.95,8.95,8.96,9.95,8.77
7.56,8.56,8.67,9.56,8.58
9.57,10,10,10,9.58
6.77,7.77,8.08,8.77,8.19
7.26,8.26,8.44,9.26,8.43
6.57,7.57,7.93,8.57,8.08
5.75,6.75,7.31,7.75,7.67
2.79,3.79,5.1,4.79,6.2
6.3,7.3,7.72,8.3,7.95
4.51,5.51,6.38,6.51,7.05
